name,status,risk_score,project_count,application_role_count,issue_count_total,issue_count_unresolved,issue_count_updated_last_7d,collection_duration_seconds,permission_limited_checks,has_administer_jira,has_administer_projects,has_browse_projects,status_reasons
gli-delivery-tm,healthy,0,22,1,1,1,1,2.2863,,True,True,True,no_risk_signals_detected
gli-global-technology,healthy,0,8,1,1,1,1,2.2139,,True,True,True,no_risk_signals_detected
gli-it-project,healthy,0,55,1,1,1,1,1.9914,,True,True,True,no_risk_signals_detected
