site_name,site_url,cloud_id,audit_record_count,automation_related_audit_record_count,audit_fetch_ok,audit_fetch_error_category,automation_rule_management_supported_with_current_auth,automation_reason
gli-it-project,https://gli-it-project.atlassian.net,d4b3adb4-bd39-435e-bd65-f29db2b11a37,,,False,auth_error,False,"Automation REST rule management is not accessible with the current Jira OAuth2 app flow. The official Automation REST API uses API token or browser session authentication, and the rule management endpoints are not available to OAuth2 apps."
gli-delivery-tm,https://gli-delivery-tm.atlassian.net,de2de731-c6ae-4e15-a2cf-92d976f0fb7c,,,False,auth_error,False,"Automation REST rule management is not accessible with the current Jira OAuth2 app flow. The official Automation REST API uses API token or browser session authentication, and the rule management endpoints are not available to OAuth2 apps."
gli-global-technology,https://gli-global-technology.atlassian.net,aaa90a93-f0af-47ba-98d6-47829cc032b7,,,False,auth_error,False,"Automation REST rule management is not accessible with the current Jira OAuth2 app flow. The official Automation REST API uses API token or browser session authentication, and the rule management endpoints are not available to OAuth2 apps."
