name,status,risk_score,project_count,application_role_count,issue_count_total,issue_count_unresolved,issue_count_updated_last_7d,collection_duration_seconds,permission_limited_checks,status_reasons
gaminglabs-team-h2pbpmis,healthy,1,1,0,1,1,0,2.0457,application_roles,permission_limited=application_roles
gaminglabs-team-tsyfo716,healthy,1,2,0,1,1,0,2.0599,application_roles,permission_limited=application_roles
gli-usa,healthy,1,1,0,0,0,0,2.6747,application_roles,permission_limited=application_roles
gli-delivery-tm,healthy,0,22,1,1,1,1,1.8468,,no_risk_signals_detected
gli-global-technology,healthy,0,8,1,1,1,1,1.8174,,no_risk_signals_detected
gli-it-project,healthy,0,55,1,1,1,1,1.9425,,no_risk_signals_detected
